name,group,category,kind,path,aig_path,circuit_size,alignment_score,standard_miter_size,aligned_miter_size,verify_status,verify_time,abc_returncode
adder,smoke,epfl,aiger,data/raw/benchmarks/prepared/adder.aag,data/raw/benchmarks/prepared/adder.aag,1276,1.0,130,130,unknown,0.021904468536376953,0
bar,smoke,epfl,aiger,data/raw/benchmarks/prepared/bar.aag,data/raw/benchmarks/prepared/bar.aag,3471,1.0,129,129,unknown,0.020833730697631836,0
sin,smoke,epfl,aiger,data/raw/benchmarks/prepared/sin.aag,data/raw/benchmarks/prepared/sin.aag,5440,1.0,26,26,unknown,0.020757436752319336,0
